Stop Number,Total Routes,Description,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Route 10,Route 11,Route 12,Route 13
13116,2,3rd St & Carroll Ave,TBUS,91
13123,3,3rd St & Evans Ave,TBUS,15,91
17320,2,3rd St & Fitzgerald Ave,TBUS,91
13124,10,3rd St & Folsom St,30,8AX,TBUS,30,45,91,45,8BX,30,8
17324,5,3rd St & Gene Friend Way,TBUS,15,22,91,22
13127,3,3rd St & Hudson Ave,TBUS,91,54
13129,3,3rd St & Innes Ave,54,TBUS,91
13135,3,3rd St & Kirkwood Ave,54,TBUS,91
13134,3,3rd St & La Salle Ave,TBUS,91,54
13143,3,3rd St & Oakdale Ave,54,TBUS,91
13141,2,3rd St & Palou Ave,TBUS,91
17171,2,3rd St & Paul Ave,TBUS,91
17961,2,3rd Street & Evans Ave,TBUS,15
13145,2,3rd St & Revere Ave,TBUS,91
13146,2,3rd St & Salinas Ave,TBUS,91
13136,7,3rd St & Stevenson St,8AX,15,45,91,45,8BX,8
13149,2,3rd St & Van Dyke Ave,TBUS,91
17321,4,3rd St & Warriors Way,TBUS,22,15,91
13150,2,3rd St & Williams Ave,TBUS,91
16909,1,400 Warren Dr E,36
15573,2,4080 Mission St,49,14
14209,1,40 Crestline Dr,37
16230,1,414 Roosevelt Way,37
16231,1,415 Roosevelt Way,37
13566,2,42nd Ave & Clement St,38,38
13567,2,43rd Ave & Clement St,38,38
13568,2,43rd Ave & Point Lobos Ave,38,38
16910,1,455 Warren Dr,36
13571,2,45th Ave & Balboa St,18,31
13570,5,45th Ave & Balboa St,18,31,18,31,31
13572,5,45th Ave & Cabrillo St,18,31,18,31,31
13573,2,45th Ave & Cabrillo St,18,31
13613,1,46 Addison St,35
13575,2,46th Ave & Irving St,18,18
13574,1,46th Ave & Irving St,18
13577,0,46th Ave & Judah St
13576,0,46th Ave & Judah St
13578,1,46th Ave & Kirkham St,18
13579,2,46th Ave & Kirkham St,18,18
13580,1,46th Ave & Lawton St,18
13581,2,46th Ave & Lawton St,18,18
13583,1,46th Ave & Lincoln Way,18
13582,2,46th Ave & Lincoln Way,18,18
13585,2,46th Ave & Moraga St,18,18
13584,1,46th Ave & Moraga St,18
13586,2,46th Ave & Noriega St,18,18
13587,1,46th Ave & Noriega St,18
13588,1,46th Ave & Ortega St,18
13589,2,46th Ave & Ortega St,18,18
13590,1,46th Ave & Pacheco St,18
13591,2,46th Ave & Pacheco St,18,18
13593,3,46th Ave & Quintara St,18,48,18
13592,1,46th Ave & Quintara St,18
13594,1,46th Ave & Rivera St,18
13595,2,46th Ave & Rivera St,18,18
13596,1,46th Ave & Santiago St,18
13597,2,46th Ave & Santiago St,18,18
13599,6,46th Ave & Taraval St,LOWL,18,L,L,18,L
17892,1,46th Ave & Taraval St,LOWL
13598,1,46th Ave & Taraval St,18
13600,3,46th Ave & Ulloa St,LOWL,18,L
13601,6,46th Ave & Ulloa St,LOWL,18,L,L,18,L
13603,6,46th Ave & Vicente St,LOWL,18,L,L,18,L
13602,3,46th Ave & Vicente St,LOWL,18,L
13604,0,46th Ave & Wawona St
17869,0,47th Ave & Cutler Ave
13605,1,47th Ave & Noriega St,7
13606,0,47th Ave & Wawona St
13608,0,48th Ave & Point Lobos Ave
17872,0,4th & Brannan Southbound
13153,2,4th St & 3rd St,TBUS,91
17366,2,4th St & Berry St,15,91
13156,2,4th St & Brannan St,TBUS,91
13158,7,4th St & Folsom St,8,TBUS,30,45,91,8AX,8BX
17405,0,4th St & King St
17166,0,4th St & King St
17397,0,4th St & King St
13161,5,4th St & Market St,8,TBUS,91,8AX,8BX
13160,7,4th St & Mission St,8,15,30,45,91,8AX,8BX
13164,0,4th St & Townsend St
15887,2,500 Parnassus Ave,43,6
14575,0,50 Thomas Mellon Dr
17688,3,513 Parnassus Ave,6,6,43
14359,1,5157 Diamond Heights Blvd,52
15126,1,515 John Muir Dr,58
15125,1,515 John Muir Dr,58
14166,1,539 Corbett Ave,37
15450,2,555 Myra Way,36,36
15451,2,555 Myra Way,36,36
17622,2,5th St & Brannan St,45,31
13168,1,5th St & Folsom St,31
17214,1,5th St & Folsom St,31
13173,1,5th St & Mission St,31
18011,1,5th Street & Natoma Ave,31
16658,1,636 Teresita Blvd,36
16659,1,636 Teresita Blvd,36
15130,1,655 John Muir Ave,58
15129,1,655 John Muir Ave,58
16008,2,6 Portola Dr,37,LOWL
13177,1,6th Ave & Balboa St,44
13178,1,6th Ave & Balboa St,44
13181,1,6th Ave & Clement St,44
13180,1,6th Ave & Clement St,44
13183,0,6th Ave & Fulton St
13185,0,6th Ave & Geary Blvd
13184,0,6th Ave & Geary Blvd
14210,1,74 Crestline Dr,37
14167,1,795 Corbett Ave,37
15253,3,7th Ave & Laguna Honda,43,36,44
17308,1,7th Ave & Lawton St,36
13191,1,7th St & Brannan St,19
16999,1,7th St & Bryant St,19
13192,2,7th St & Folsom St,27,19
13193,1,7th St & Harrison St,19
13194,2,7th St & Howard St,27,19
18047,0,7th St & Market St
13196,0,7th St & Market St
13195,2,7th St & Mission St,27,19
14168,1,800 Corbett Ave,37
17023,1,831 Ellsworth St,67
13201,1,8th Ave & Fulton St,44
13202,1,8th Ave & Fulton St,44
17926,2,8th Ave & Judah Ave,66,66
13203,0,8th St & Brannan St
13204,1,8th St & Bryant St,19
13205,2,8th St & Folsom St,19,27
13206,1,8th St & Harrison St,19
17677,2,8th St & Howard,19,27
13209,1,8th St & Market St,19
13208,1,8th St & Mission St,27
16660,1,900 Teresita Blvd,36
16661,1,900 Teresita Blvd,36
14565,1,909 Ellsworth St,67
13797,1,90 Buckingham Way,57
13798,1,91 Buckingham Way,57
14169,1,925 Corbett Ave,37
14566,1,945 Ellsworth St,67
14170,1,956 Corbett Ave,37
14567,1,989 Ellsworth St,67
17999,3,9th Ave & Irving St,NOWL,NBUS,N
13211,1,9th Ave & Irving St,44
13213,1,9th Ave & Irving St,44
13214,0,9th Ave & Judah St
13215,0,9th Ave & Judah St
13216,4,9th Ave & Kirkham St,43,6,66,44
13217,4,9th Ave & Kirkham St,6,44,6,43
13219,2,9th Ave & Lawton St,6,6
13218,4,9th Ave & Lawton St,43,6,66,44
13220,1,9th Ave & Lincoln Way,44
13221,1,9th Ave & Lincoln Way,44
13223,2,9th Ave & Moraga St,6,6
13222,1,9th Ave & Moraga St,6
13225,2,9th Ave & Noriega St,6,6
13224,1,9th Ave & Noriega St,6
13226,1,9th Ave & Ortega St,6
17560,1,9th St & Avenue D,25
13229,1,9th St & Avenue H,25
13615,1,Addison St & Diamond Heights Blvd,35
13616,1,Addison  St & Digby St,35
13617,1,Addison  St & Farnum St,35
13618,1,Addison  St & Farnum St,35
13619,2,Alana Way & Executive Park Blvd,56,56
13621,0,Alemany Blvd & Arch St
13622,0,Alemany Blvd & Arch St
17626,1,Alemany Blvd & Flosom St,67
13628,3,Alemany Blvd & St Charles Ave,58,57,54
13631,1,Alemany Blvd & Victoria St,54
13630,1,Alemany Blvd & Victoria St,54
13641,2,Arch St & Alemany Blvd,57,58
17820,2,Arch St & Alemany St,58,57
13642,1,Arguello Blvd & Balboa St,33
13644,1,Arguello Blvd & California St,33
13643,0,Arguello Blvd & California St
13645,1,Arguello Blvd & Clement St,33
13647,2,Arguello Blvd & Euclid Ave,33,33
13648,2,Arguello Blvd & Fulton St,33,33
17839,0,Arguello Blvd & Geary Blvd
13650,2,Arguello Blvd & Geary Blvd,33,33
13649,1,Arguello Blvd & Geary Blvd,33
13651,2,Arguello Blvd & Turk St,33,33
17220,1,Ashbury St & Clayton St,33
13659,2,Ashbury St & Clayton St,33,33
13656,2,Ashbury St & Clifford Ter,33,33
13657,1,Ashbury St & Clifford Ter,33
13661,2,Ashbury St & Frederick St,33,33
17295,1,Ashbury St & Frederick St,33
13662,3,Ashbury St & Haight St,37,33,33
13664,2,Ashbury St & Piedmont St,33,33
13663,1,Ashbury St & Piedmont St,33
13666,2,Ashbury St & Waller St,33,33
13665,1,Ashbury St & Waller St,33
